Date,Open,High,Low,Close,Volume
2020-01-01,128.66,132.86,128.19,130.33,13374.4547044
2020-01-02,130.26,130.26,126.0,126.72,25761.75293485
2020-01-03,126.7,134.72,125.4,134.0,50257.3196275498
2020-01-04,134.19,135.91,132.58,134.14,16218.0729796001
2020-01-05,134.12,138.3,133.83,135.27,28960.23970127
2020-01-06,135.09,144.57,134.86,144.34,67256.5946846299
2020-01-07,144.3,145.32,138.98,143.2,50304.24822416
2020-01-08,143.02,147.95,137.03,140.7,93275.5540278608
2020-01-09,140.7,141.57,135.33,137.91,33496.8099700101
2020-01-10,137.75,145.32,135.14,144.92,47163.9986805698
2020-01-11,144.87,147.92,141.28,142.62,43161.3024036495
2020-01-12,142.23,146.5,141.53,146.5,21408.86145823
2020-01-13,146.45,146.99,142.0,143.58,27611.2967656
2020-01-14,143.57,170.0,143.45,166.19,138641.1411234009
2020-01-15,165.81,171.61,159.05,166.31,72351.0385166501
2020-01-16,166.6,167.27,158.42,164.17,55814.8047292798
2020-01-17,164.04,174.0,161.98,169.59,106510.4177425898
2020-01-18,169.6,179.0,164.87,174.03,83959.9659728999
2020-01-19,173.96,178.06,161.77,166.84,76137.29295796
2020-01-20,166.81,169.2,160.9,166.61,65225.5378533497
2020-01-21,166.64,170.01,164.61,169.3,36287.81872113
2020-01-22,169.32,170.92,165.61,167.66,40014.3417739596
2020-01-23,167.67,167.67,159.0,162.5,48632.6535546
2020-01-24,162.43,164.3,155.25,162.32,75924.1547593098
2020-01-25,162.3,162.48,157.43,160.12,39880.62919832
2020-01-26,160.01,167.65,159.06,167.4,62458.0147919898
2020-01-27,167.61,171.77,164.94,169.88,42983.6942977698
2020-01-28,169.98,176.89,169.96,176.41,63422.9228708397
2020-01-29,176.41,179.0,172.95,173.48,53185.4990897496
2020-01-30,173.38,186.6,170.5,184.34,119343.9352363802
2020-01-31,184.4,185.47,175.0,179.68,48474.9608057201
2020-02-01,179.68,184.0,178.92,183.41,28477.95884968
2020-02-02,183.4,193.3,178.9,188.25,58669.3770189201
2020-02-03,188.16,195.14,186.43,189.78,46618.3562007698
2020-02-04,189.48,191.28,184.0,188.35,49348.6873356196
2020-02-05,188.35,207.95,187.71,203.76,83023.9483910397
2020-02-06,203.76,216.4,201.19,212.92,99622.6450042799
2020-02-07,213.1,224.77,213.1,222.91,96326.7875299299
2020-02-08,222.86,228.0,213.41,223.27,101689.6320766999
2020-02-09,223.3,230.8,222.98,228.64,70206.9744978899
2020-02-10,228.79,229.4,216.6,223.0,73387.3109161992
2020-02-11,223.01,239.89,217.7,237.83,96819.0683982492
2020-02-12,238.06,275.88,238.06,266.4,180386.2438389204
2020-02-13,266.56,278.0,254.22,268.64,138631.3162284193
2020-02-14,268.6,287.71,259.63,285.96,97551.9987669696
2020-02-15,285.88,288.98,261.0,264.92,115019.5409125303
2020-02-16,264.74,274.03,237.0,258.82,125637.0530905095
2020-02-17,258.97,268.99,242.51,268.22,108345.1774997596
2020-02-18,268.19,286.49,259.46,282.82,117604.6442301292
2020-02-19,283.0,287.0,251.25,258.85,110871.6960568489
2020-02-20,258.61,264.24,244.24,257.96,89228.3643869398
2020-02-21,257.55,268.5,254.24,265.58,58126.8124136897
2020-02-22,265.62,267.01,256.1,262.48,37601.637174459
2020-02-23,262.12,276.58,261.75,275.73,33439.82731264
2020-02-24,275.58,278.26,256.83,265.81,77309.3487092596
2020-02-25,265.57,266.25,244.0,246.7,92993.8171593601
2020-02-26,246.29,249.89,215.67,223.71,172998.0257640095
2020-02-27,223.74,238.13,208.0,227.5,115934.4700212595
2020-02-28,227.5,234.39,213.68,227.09,93764.7886258101
2020-02-29,227.17,233.31,216.91,217.78,43962.8522805
2020-03-01,217.31,228.0,212.02,217.5,77111.9326287799
2020-03-02,217.41,235.52,215.69,232.0,78810.6680024803
2020-03-03,232.0,232.99,220.25,223.53,59952.5710394501
2020-03-04,223.66,228.89,220.47,224.48,33625.5392348101
2020-03-05,224.49,234.6,224.49,228.66,74773.4131050198
2020-03-06,228.66,246.27,227.67,245.74,69928.4279399097
2020-03-07,245.92,252.5,236.22,237.6,59102.8258599999
2020-03-08,237.36,237.36,196.0,199.89,132693.273600749
2020-03-09,199.47,208.68,189.07,203.38,152922.6005628099
